SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
ISR archive pic,GWII,3-Nov-2014,Tw Frenc,tG03Twa,https://twitter.com/CERN_FR/status/529225761287200768,12300,4.09,1.0,.08,-.62,.0,.00,-.34,3.0,.24,-.53,10.0,.81,-.17,34.0,-.01,10.0,-0.07
ISR archive pic,GWII,3-Nov-2014,Tw Frenc,tG03Twb,https://twitter.com/CERN_FR/status/529225761287200768,12300,4.09,,,,,,,,,,13.0,1.06,.19,30.0,-.10,15.0,0.31
CMS Cristal-ise,GWII,10-Nov-2014,Tw Frenc,tG04Tw,https://twitter.com/CERN_FR/status/531827994458066944,12400,4.09,2.0,.16,-.22,.0,.00,-.34,4.0,.32,-.35,11.0,.89,-.06,.0,-.75,.0,-0.84
ASACUSA,GWII,18-Nov-2014,Tw Frenc,tG05Tw,https://twitter.com/CERN_FR/status/534622665110462464,12500,4.10,1.0,.08,-.63,.0,.00,-.34,14.0,1.12,1.52,20.0,1.60,.98,8.0,-.57,15.0,0.31
Open Data,News,20-Nov-2014,Tw Frenc,tN15Tw,https://twitter.com/CERN_FR/status/535453695270739968,12500,4.10,9.0,.72,2.58,.0,.00,-.34,11.0,.88,.96,37.0,2.96,2.97,67.0,.70,19.0,0.62
Octopus,GWII,24-Nov-2014,Tw Frenc,tG06Twb,https://twitter.com/CERN_FR/status/536899295388372992,12500,4.10,,,,,,,,,,12.0,.96,.05,28.0,-.14,17.0,0.47
1st computer,TBT,20-Nov-2014,Facebook,tT05Fb,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/732647460155935/?type=1,360872,5.56,,,,,,,,,,12.0,.03,-.43,340.0,7.36,17.0,1.88
1st computer,TBT,20-Nov-2014,Twitter,tT05Tb,https://twitter.com/CERN/status/535472329204457473,1050000,6.02,,,,,,,,,,81.0,.08,-.69,39.0,3.19,6.0,1.25
Octopus,GWII,24-Nov-2014,Tw Frenc,tG06Twa,https://twitter.com/CERN_FR/status/536899295388372992,12500,4.10,3.0,.24,.18,.0,.00,-.34,3.0,.24,-.54,4.0,.32,-.89,131.0,2.08,75.0,4.94
Collisioneur,News,17-Oct-2014,Tw Frenc,tN01Tw,https://twitter.com/CERN_FR/status/523112356038344704,12200,4.09,3.0,.25,.21,.0,.00,-.34,7.0,.57,.24,13.0,1.07,.20,13.0,-.47,8.0,-0.22
UN event,News,20-Oct-2014,Tw Frenc,tN02Tw,https://twitter.com/CERN_FR/status/524166304291618816,12200,4.09,1.0,.08,-.62,.0,.00,-.34,3.0,.25,-.53,4.0,.33,-.87,.0,-.75,.0,-0.84
CERN60 vid,News,21-Oct-2014,Tw Frenc,tN03Tw,https://twitter.com/CERN_FR/status/524590200669077504,12200,4.09,2.0,.16,-.20,.0,.00,-.34,1.0,.08,-.91,6.0,.49,-.64,5.0,-.64,17.0,0.47
IceCube VV,News,23-Oct-2014,Tw Frenc,tN04Tw,https://twitter.com/CERN_FR/status/525223609602932737,12200,4.09,2.0,.16,-.20,.0,.00,-.34,3.0,.25,-.53,14.0,1.15,.32,7.0,-.60,7.0,-0.30
Nov Courier,News,28-Oct-2014,Tw Frenc,tN05Twa,https://twitter.com/CERN_FR/status/527041789187067904,12300,4.09,1.0,.08,-.62,.0,.00,-.34,1.0,.08,-.91,5.0,.41,-.76,.0,-.75,.0,-0.84
Nov Courier,News,28-Oct-2014,Tw Frenc,tN05Twb,https://twitter.com/CERN_FR/status/527041789187067904,12300,4.09,,,,,,,,,,2.0,.16,-1.12,.0,-.75,.0,-0.84
TEDx videos,News,4-Nov-2014,Tw Frenc,tN06Tw,https://twitter.com/CERN_FR/status/529680022982770688,12300,4.09,6.0,.49,1.42,.0,.00,-.34,.0,.00,-1.10,8.0,.65,-.40,.0,-.75,.0,-0.84
LHChamber,News,30-Oct-2014,Tw Frenc,tN07Tw,https://twitter.com/CERN_FR/status/527847496228544512,12300,4.09,1.0,.08,-.62,.0,.00,-.34,5.0,.41,-.15,16.0,1.30,.55,.0,-.75,.0,-0.84
Halloween,News,31-Oct-2014,Tw Frenc,tN08Tw,https://twitter.com/CERN_FR/status/528202503389982720,12300,4.09,1.0,.08,-.62,.0,.00,-.34,5.0,.41,-.15,8.0,.65,-.40,73.0,.83,25.0,1.09
TOTEM,Wow,25-Nov-2014,Tw Frenc,tW06Tw,https://twitter.com/CERN_FR/status/537513558847016960,12500,4.10,5.0,.40,.98,.0,.00,-.34,10.0,.80,.77,33.0,2.64,2.50,1.0,-.72,3.0,-0.61
BellDay,News,5-Nov-2014,Tw Frenc,tN10Tw,https://twitter.com/CERN_FR/status/529927181661904896,12300,4.09,2.0,.16,-.21,.0,.00,-.34,12.0,.98,1.18,25.0,2.03,1.62,81.0,1.00,20.0,0.70
Particle Fever,News,5-Nov-2014,Tw Frenc,tN11Tw,https://twitter.com/CERN_FR/status/529900638562680832,12300,4.09,2.0,.16,-.21,.0,.00,-.34,16.0,1.30,1.94,22.0,1.79,1.26,.0,-.75,.0,-0.84
bl4s,News,18-Nov-2014,Tw Frenc,tN13Twa,https://twitter.com/CERN_FR/status/534711458324832256,12500,4.10,.0,.00,-1.03,.0,.00,-.34,1.0,.08,-.91,3.0,.24,-1.00,52.0,.37,33.0,1.70
bl4s,News,18-Nov-2014,Tw Frenc,tN13Twb,https://twitter.com/CERN_FR/status/534711458324832256,12500,4.10,,,,,,,,,,3.0,.24,-1.00,47.0,.27,33.0,1.70
The Port,News,18-Nov-2014,Tw Frenc,tN14Tw,https://twitter.com/CERN_FR/status/534723617930899456,12500,4.10,5.0,.40,.98,.0,.00,-.34,2.0,.16,-.73,5.0,.40,-.77,39.0,.09,20.0,0.70
bl4s (N17),News,27-Nov-2014,Facebook,tN17Fa,https://www.facebook.com/cern/photos/a.173272186093468.45199.169005736520113/735949836492364/?type=1,363593,5.56,191.0,.53,-.37,3.0,.01,-.40,28.0,.08,-.34,18.0,.05,-.40,21.0,.14,39.0,5.25
Dec Courier,News,28-Nov-2014,Tw Frenc,tN18Twa,https://twitter.com/CERN_FR/status/538367054815199233,12500,4.10,2.0,.16,-.22,.0,.00,-.34,7.0,.56,.21,22.0,1.76,1.22,16.0,-.40,14.0,0.24
Dec Courier,News,28-Nov-2014,Tw Frenc,tN18Twb,https://twitter.com/CERN_FR/status/538367054815199233,12500,4.10,,,,,,,,,,3.0,.24,-1.00,.0,-.75,.0,-0.84
IdeaSquare,News,9-Dec-2014,Tw Frenc,tN22Tw,https://twitter.com/CERN_FR/status/542343685543718913,12600,4.10,.0,.00,-1.03,.0,.00,-.34,1.0,.08,-.92,8.0,.63,-.43,83.0,1.04,12.0,0.08
Magnets,News,9-Dec-2014,Tw Frenc,tN23Tw,https://twitter.com/CERN_FR/status/542351617459511296,12600,4.10,3.0,.24,.17,.0,.00,-.34,5.0,.40,-.17,11.0,.87,-.08,.0,-.75,.0,-0.84
PS bubble,TBT,23-Oct-2014,Tw Frenc,tT01Tw,https://twitter.com/CERN_FR/status/525264607716585474,12200,4.09,2.0,.16,-.20,.0,.00,-.34,6.0,.49,.05,1.0,.08,-1.23,.0,-.75,.0,-0.84
Wire-weaving,TBT,30-Oct-2014,Tw Frenc,tT02Tw,https://twitter.com/CERN_FR/status/527819174698299392,12300,4.09,1.0,.08,-.62,.0,.00,-.34,4.0,.33,-.34,7.0,.57,-.52,24.0,-.23,14.0,0.24
BEBC pipe,TBT,6-Nov-2014,Tw Frenc,tT03Tw,https://twitter.com/CERN_FR/status/530387398338048000,12300,4.09,.0,.00,-1.03,1.0,.08,1.20,1.0,.08,-.91,8.0,.65,-.40,.0,-.75,.0,-0.84
Pipes,GWII,1-Dec-2014,Google+,tG07Ga,https://plus.google.com/+CERN/posts/dmqmCVU553W,12500,4.10,83.0,6.64,.47,24.0,1.92,3.98,8.0,.64,-.07,13.0,1.04,-.14,.0,-.47,.0,-0.55
1st computer,TBT,20-Nov-2014,Tw Frenc,tT05Twa,https://twitter.com/CERN_FR/status/535473357907845120,12500,4.10,2.0,.16,-.22,.0,.00,-.34,6.0,.48,.02,6.0,.48,-.65,.0,-.75,.0,-0.84
1st computer,TBT,20-Nov-2014,Tw Frenc,tT05Twb,https://twitter.com/CERN_FR/status/535473357907845120,12500,4.10,,,,,,,,,,7.0,.56,-.54,.0,-.75,.0,-0.84
Power,TBT,28-Nov-2014,Tw Frenc,tT06Tw,https://twitter.com/CERN_FR/status/538368773926162432,12500,4.10,2.0,.16,-.22,.0,.00,-.34,8.0,.64,.40,11.0,.88,-.07,33.0,-.04,9.0,-0.15
Courier reminisce,TBT,4-Dec-2014,Tw Frenc,tT07Tw,https://twitter.com/CERN_FR/status/540544085811933184,12600,4.10,.0,.00,-1.03,1.0,.08,1.17,.0,.00,-1.10,4.0,.32,-.89,.0,-.75,.0,-0.84
SPS Tank,TBT,11-Dec-2014,Tw Frenc,tT08Tw,https://twitter.com/CERN_FR/status/543085937425924097,12600,4.10,2.0,.16,-.23,.0,.00,-.34,3.0,.24,-.54,4.0,.32,-.89,.0,-.75,.0,-0.84
ALICE,Wow,21-Oct-2014,Tw Frenc,tW01Tw,https://twitter.com/CERN_FR/status/524570140575531008,12200,4.09,2.0,.16,-.20,.0,.00,-.34,7.0,.57,.24,8.0,.66,-.40,10.0,-.53,12.0,0.08
ATLAS,Wow,28-Oct-2014,Tw Frenc,tW02Tw,https://twitter.com/CERN_FR/status/527052669324509185,12300,4.09,3.0,.24,.20,.0,.00,-.34,5.0,.41,-.15,11.0,.89,-.05,97.0,1.34,9.0,-0.15
Pipes,GWII,1-Dec-2014,Tw Frenc,tG07Twa,https://twitter.com/CERN_FR/status/539697703651790848,12500,4.10,.0,.00,-1.03,.0,.00,-.34,1.0,.08,-.91,12.0,.96,.05,147.0,2.42,8.0,-0.22
LHCb,Wow,11-Nov-2014,Tw Frenc,tW04Tw,https://twitter.com/CERN_FR/status/532179822387429376,12400,4.09,2.0,.16,-.22,.0,.00,-.34,4.0,.32,-.35,7.0,.56,-.53,7.0,-.60,14.0,0.24
Pipes,GWII,1-Dec-2014,Tw Frenc,tG07Twb,https://twitter.com/CERN_FR/status/539697703651790848,12500,4.10,,,,,,,,,,4.0,.32,-.89,140.0,2.27,25.0,1.09
RF,Wow,18-Nov-2014,Tw Frenc,tW05Twb,https://twitter.com/CERN_FR/status/534739673730387968,12500,4.10,,,,,,,,,,22.0,1.76,1.22,3.0,-.68,5.0,-0.46
