SUBJECT,TYPE,POSTDATE,PLATFORM,CODE,POST,Followers,Followers_log10,LIKES,Likes_pkU,Likes_pkU_z,COMMENTS,Comments_pkU,Comments_pkU_z,SHARES,Shares_pkU,Shares_pkU_z,CLICK_THROUGHS,CTs_pkU,CTs_pkU_z,AVG_VISIT_DURATION,AVG_VISIT_DURATION_z,RETENTION_RATE,RETENTION_RATE_z
bl4s,News,2-Dec-2014,Twitter,tN19Ta,https://twitter.com/CERN/status/539816551676129280,1060000,6.03,17.0,.02,-.79,.0,.00,-.75,12.0,.01,-.65,27.0,.03,-.95,1.0,-.89,4.0,0.22
bl4s,News,2-Dec-2014,Twitter,tN19Tb,https://twitter.com/CERN/status/539816551676129280,1060000,6.03,,,,,,,,,,20.0,.02,-.98,.0,-.99,.0,-1.84
bl4s,News,4-Dec-2014,Twitter,tN20Ta,https://twitter.com/CERN/status/540513483759312896,1060000,6.03,15.0,.01,-.81,.0,.00,-.75,22.0,.02,-.61,30.0,.03,-.93,6.0,-.35,3.0,-0.29
bl4s,News,4-Dec-2014,Twitter,tN20Tb,https://twitter.com/CERN/status/540513483759312896,1060000,6.03,,,,,,,,,,20.0,.02,-.98,.0,-.99,.0,-1.84
Ribbon,News,8-Dec-2014,Twitter,tN21T,https://twitter.com/CERN/status/541965375400062976,1060000,6.03,153.0,.14,.22,5.0,.00,-.28,136.0,.13,-.11,131.0,.12,-.46,14.0,.51,4.0,0.22
IdeaSquare,News,9-Dec-2014,Twitter,tN22T,https://twitter.com/CERN/status/542343724336824320,1060000,6.03,46.0,.04,-.58,.0,.00,-.75,63.0,.06,-.43,117.0,.11,-.52,10.0,.08,2.0,-0.81
Magnets,News,9-Dec-2014,Twitter,tN23T,https://twitter.com/CERN/status/542349070648754176,1060000,6.03,88.0,.08,-.27,6.0,.01,-.18,112.0,.11,-.22,219.0,.21,-.04,13.0,.40,5.0,0.74
PS bubble,TBT,23-Oct-2014,Twitter,tT01T,https://twitter.com/CERN/status/525232991447318528,1030000,6.01,77.0,.07,-.33,2.0,.00,-.55,78.0,.08,-.35,92.0,.09,-.63,11.0,.18,4.0,0.22
Wire-weaving,TBT,30-Oct-2014,Twitter,tT02T,https://twitter.com/CERN/status/527771620803637249,1040000,6.02,58.0,.06,-.48,2.0,.00,-.55,55.0,.05,-.46,102.0,.10,-.58,3.0,-.67,4.0,0.22
BEBC pipe,TBT,6-Nov-2014,Twitter,tT03T,https://twitter.com/CERN/status/530383893799911424,1040000,6.02,44.0,.04,-.59,21.0,.02,1.26,55.0,.05,-.46,596.0,.57,1.80,8.0,-.14,2.0,-0.81
Control rooms,TBT,13-Nov-2014,Twitter,tT04T,https://twitter.com/CERN/status/532921593643950080,1050000,6.02,69.0,.07,-.40,4.0,.00,-.37,73.0,.07,-.38,153.0,.15,-.34,9.0,-.03,4.0,0.22
1st computer,TBT,20-Nov-2014,Twitter,tT05Ta,https://twitter.com/CERN/status/535472329204457473,1050000,6.02,80.0,.08,-.32,5.0,.00,-.27,84.0,.08,-.33,110.0,.10,-.55,11.0,.18,5.0,0.74
ATLAS clean,GWII,8-Dec-2014,Tw Frenc,tG08Tw,https://twitter.com/CERN_FR/status/541958017852657665,12600,4.10,.0,.00,-1.03,.0,.00,-.34,1.0,.08,-.92,13.0,1.03,.15,136.0,2.18,23.0,0.93
Power,TBT,27-Nov-2014,Twitter,tT06T,https://twitter.com/CERN/status/538069531617275904,1050000,6.02,82.0,.08,-.30,3.0,.00,-.46,71.0,.07,-.39,256.0,.24,.15,2.0,-.78,2.0,-0.81
Courier reminisce,TBT,4-Dec-2014,Twitter,tT07T,https://twitter.com/CERN/status/540544067759644672,1060000,6.03,23.0,.02,-.75,1.0,.00,-.65,18.0,.02,-.62,41.0,.04,-.88,.0,-.99,2.0,-0.81
SPS Tank,TBT,11-Dec-2014,Twitter,tT08T,https://twitter.com/CERN/status/543066530570047489,1060000,6.03,81.0,.08,-.32,2.0,.00,-.56,63.0,.06,-.43,150.0,.14,-.37,2.0,-.78,3.0,-0.29
ALICE,Wow,21-Oct-2014,Twitter,tW01T,https://twitter.com/CERN/status/524505498221944833,1030000,6.01,176.0,.17,.42,23.0,.02,1.48,203.0,.20,.20,248.0,.24,.13,15.0,.61,3.0,-0.29
ATLAS,Wow,28-Oct-2014,Twitter,tW02T,https://twitter.com/CERN/status/527053808439152640,1040000,6.02,174.0,.17,.40,12.0,.01,.40,208.0,.20,.22,255.0,.25,.15,10.0,.08,3.0,-0.29
IdeaSquare,News,9-Dec-2014,Google+,tN22G,https://plus.google.com/+CERN/posts/BZ28NDK3F8j,12600,4.10,35.0,2.78,-.22,3.0,.24,.03,5.0,.40,-.22,17.0,1.35,-.04,79.0,3.42,10.0,1.02
LHCb,Wow,11-Nov-2014,Twitter,tW04T,https://twitter.com/CERN/status/532178231961862146,1040000,6.02,70.0,.07,-.39,2.0,.00,-.55,81.0,.08,-.34,153.0,.15,-.34,3.0,-.67,3.0,-0.29
RF,Wow,18-Nov-2014,Twitter,tW05Ta,https://twitter.com/CERN/status/534738411014590464,1050000,6.02,80.0,.08,-.32,6.0,.01,-.18,96.0,.09,-.28,230.0,.22,.02,2.0,-.78,1.0,-1.33
RF,Wow,18-Nov-2014,Twitter,tW05Tb,https://twitter.com/CERN/status/534738411014590464,1050000,6.02,,,,,,,,,,301.0,.29,.36,9.0,-.03,2.0,-0.81
TOTEM,Wow,25-Nov-2014,Twitter,tW06T,https://twitter.com/CERN/status/537336981274247169,1050000,6.02,127.0,.12,.03,1.0,.00,-.65,138.0,.13,-.10,257.0,.24,.15,20.0,1.15,5.0,0.74
Magnets,News,9-Dec-2014,Google+,tN23G,https://plus.google.com/+CERN/posts/SVu7y2faYne,12600,4.10,167.0,13.25,1.67,18.0,1.43,2.83,26.0,2.06,.78,64.0,5.08,1.21,5.0,-.22,3.0,-0.08
Splash,Wow,9-Dec-2014,Twitter,tW08T,https://twitter.com/CERN/status/542316909791051776,1060000,6.03,105.0,.10,-.14,6.0,.01,-.18,112.0,.11,-.22,304.0,.29,.36,6.0,-.35,4.0,0.22
