"gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","median_income","oldest","major_presige","interruptions_per_min","sequence_starts_per_wordX100","proportion_sequence_starts","proportion_words"
0,-1.89,-0.17,-1.53,1.64,0.78,0.72,1.54,"short",64.2,"Missing",8,0.588,1.61,0.267,0.39
0,1,0.8,1.1,-0.14,1.5,0.61,-1.28,"short",66.6,"Missing",38,0.001,3.96,0.267,0.16
0,-1.89,-0.17,-1.53,1.64,0.78,0.72,1.54,"short",64.2,"Missing",8,0.588,1.61,0.267,0.39
0,1.65,1.05,1.7,0.26,-0.73,0.26,0.74,"long",64.2,"yes",28.5,0.293,1.69,0.667,0.68
0,0.47,1.29,0.89,0.53,-0.24,-1.29,-1.28,"short",102,"no",11,0.585,2.19,0.333,0.26
0,1.65,1.05,1.7,0.26,-0.73,0.26,0.74,"long",64.2,"yes",28.5,0.293,1.69,0.667,0.68
0,-0.45,0.07,-0.32,-0.14,-0.12,-0.3,0.74,"short",68.9,"no",38,0.001,0,0,0.06
0,0.47,1.29,0.89,0.53,-0.24,-1.29,-1.28,"short",102,"no",11,0.585,2.19,0.333,0.26
0,-0.45,0.07,-0.32,-0.14,-0.12,-0.3,0.74,"short",68.9,"no",38,0.001,0,0,0.06
1,0.87,0.56,0.89,-0.67,0.78,-0.01,-1.4,"short",73.9,"no",26,0.952,2.13,0.375,0.15
1,-0.58,-1.63,-1.12,0.38,0.41,-0.12,0.43,"short",82.2,"no",38,0.238,2.03,0.625,0.27
1,0.87,0.56,0.89,-0.67,0.78,-0.01,-1.4,"short",73.9,"no",26,0.952,2.13,0.375,0.15
1,0.87,-0.17,0.59,0.91,-0.74,-0.41,-1.77,"tanktop",102,"yes",15.5,0.952,0,0,0.58
1,-0.58,-1.63,-1.12,0.38,0.41,-0.12,0.43,"short",82.2,"no",38,0.238,2.03,0.625,0.27
1,0.87,-0.17,0.59,0.91,-0.74,-0.41,-1.77,"tanktop",102,"yes",15.5,0.952,0,0,0.58
0,-0.05,0.32,0.09,0.4,-0.05,-1.18,1.54,"short",93.9,"no",38,0.286,1.83,0.188,0.21
0,-0.11,-2.12,-0.89,0.26,0.4,1.31,-1.28,"short",64.6,"no",37.5,0.857,1.67,0.438,0.54
0,-0.05,0.32,0.09,0.4,-0.05,-1.18,1.54,"short",93.9,"no",38,0.286,1.83,0.188,0.21
0,-1.23,0.56,-0.72,-0.41,0.13,0.32,1.95,"long",64.5,"yes",17.5,0.001,2.99,0.375,0.26
0,-0.11,-2.12,-0.89,0.26,0.4,1.31,-1.28,"short",64.6,"no",37.5,0.857,1.67,0.438,0.54
0,-1.23,0.56,-0.72,-0.41,0.13,0.32,1.95,"long",64.5,"yes",12.5,0.001,2.99,0.375,0.26
1,-0.35,0.32,-0.17,0.59,-1.09,-1.97,-1.03,"tanktop",87.1,"Missing",15,0.242,1.05,0.273,0.38
1,-0.45,-0.17,-0.42,-0.46,0.88,0.21,0.07,"long",100.8,"Missing",27.5,0.242,1.67,0.455,0.4
1,-0.35,0.32,-0.17,0.59,-1.09,-1.97,-1.03,"tanktop",87.1,"Missing",15,0.242,1.05,0.273,0.38
1,-0.18,-0.41,-0.32,0.59,-0.33,0.01,-1.4,"long",55.5,"Missing",15,0.242,1.81,0.273,0.22
1,-0.45,-0.17,-0.42,-0.46,0.88,0.21,0.07,"long",100.8,"Missing",27.5,0.242,1.67,0.455,0.4
1,-0.18,-0.41,-0.32,0.59,-0.33,0.01,-1.4,"long",55.5,"Missing",15,0.242,1.81,0.273,0.22
1,1.79,3.24,2.71,0.17,1.33,1.65,1.9,"long",56.9,"no",38,0.548,3.11,0.421,0.31
1,0.08,1.29,0.59,-0.14,0.27,-0.33,1.17,"tanktop",95.6,"yes",15,0.548,1.65,0.158,0.22
1,1.79,3.24,2.71,0.17,1.33,1.65,1.9,"long",56.9,"no",38,0.548,3.11,0.421,0.31
1,0.74,2.51,1.6,0.7,1.08,0.31,0.8,"short",120.1,"no",15,0.548,2.04,0.421,0.47
1,0.08,1.29,0.59,-0.14,0.27,-0.33,1.17,"tanktop",95.6,"yes",15,0.548,1.65,0.158,0.22
