"triad","indiv-1","indiv-2","dyad","dyad_split","individual_split","gender","f1_psychopathy","f2_psychopathy","total_psychopathy","attractiveness","fighting_ability","strength","height","shirt_type","shirt1","median_income","oldest","highest_class_rank","major_presige","dyad_status_difference","proportion_words","proportion_sequence_starts","interruptions_per_min","sequence_starts_per_wordX100","interruptions_per_wordX100","affect_words","triad_total_words_per_min"
9,53373584,92160112,26,2,1,0,-0.05,-0.9,-0.42,-0.41,-1.26,-0.34,-1.68,"short",2,87.4,"no",0,17.5,-0.17,0.46,0.278,0.914,1.46,0.87,7.69,225.3
9,64372632,53373584,27,1,2,0,-0.32,-1.39,-0.82,-1.22,-1.06,-0.64,0.74,"short",2,50.7,"yes",1,15,-1,0.25,0.333,0.305,3.28,0.55,9.24,225.3
9,53373584,64372632,27,2,2,0,-0.05,-0.9,-0.42,-0.41,-1.26,-0.34,-1.68,"short",2,87.4,"no",0,17.5,1,0.46,0.278,0.914,1.46,0.87,7.69,225.3
10,92122800,92128600,28,1,1,1,-0.32,0.07,-0.22,0.8,0.01,0.16,-0.67,"long",3,59.2,NA,NA,38,0,0.38,0.526,0.531,3.36,0.67,5.94,206.9
10,92128600,92122800,28,2,1,1,0.08,1.67,0.71,0.7,1.25,1.58,2.27,"long",3,94,NA,NA,19,0,0.33,0,0.265,0,0.39,5.41,206.9
10,92122800,92151080,29,1,2,1,-0.32,0.07,-0.22,0.8,0.01,0.16,-0.67,"long",3,59.2,NA,NA,38,0.17,0.38,0.526,0.531,3.36,0.67,5.94,206.9
10,92151080,92122800,29,2,1,1,-0.05,-0.66,-0.32,0.91,0.68,0.12,0.8,"short",2,76.6,NA,NA,15,-0.17,0.29,0.474,0.265,3.98,0.44,3.43,206.9
10,92128600,92151080,30,1,2,1,0.08,1.67,0.71,0.7,1.25,1.58,2.27,"long",3,94,NA,NA,19,1.17,0.33,0,0.265,0,0.39,5.41,206.9
10,92151080,92128600,30,2,2,1,-0.05,-0.66,-0.32,0.91,0.68,0.12,0.8,"short",2,76.6,NA,NA,15,-1.17,0.29,0.474,0.265,3.98,0.44,3.43,206.9
11,92125776,13288055,31,1,1,0,1.75,1.4,1.93,0.53,0.06,0.3,-1.68,"long",3,120.1,NA,NA,NA,0.29,0.45,0.467,1.176,2.5,1.43,3.91,185
11,13288055,92125776,31,2,1,0,1,0.8,1.1,-0.14,1.5,0.61,-1.28,"short",2,66.6,NA,NA,38,-0.29,0.16,0.267,0.001,3.96,0.001,10.53,185
11,92125776,92190632,32,1,2,0,1.75,1.4,1.93,0.53,0.06,0.3,-1.68,"long",3,120.1,NA,NA,NA,1.57,0.45,0.467,1.176,2.5,1.43,3.91,185
11,92190632,92125776,32,2,1,0,-1.89,-0.17,-1.53,1.64,0.78,0.72,1.54,"short",2,64.2,NA,NA,8,-1.57,0.39,0.267,0.588,1.61,0.81,5.62,185
11,13288055,92190632,33,1,2,0,1,0.8,1.1,-0.14,1.5,0.61,-1.28,"short",2,66.6,NA,NA,38,0.86,0.16,0.267,0.001,3.96,0.001,10.53,185
11,92190632,13288055,33,2,2,0,-1.89,-0.17,-1.53,1.64,0.78,0.72,1.54,"short",2,64.2,NA,NA,8,-0.86,0.39,0.267,0.588,1.61,0.81,5.62,185
12,92186992,92163760,34,1,1,0,1.65,1.05,1.7,0.26,-0.73,0.26,0.74,"long",3,64.2,"yes",1,28.5,-0.86,0.68,0.667,0.293,1.69,0.21,4.35,204.1
12,92163760,92186992,34,2,1,0,0.47,1.29,0.89,0.53,-0.24,-1.29,-1.28,"short",2,102,"no",0,11,0.86,0.26,0.333,0.585,2.19,1.09,5.41,204.1
12,92186992,92115432,35,1,2,0,1.65,1.05,1.7,0.26,-0.73,0.26,0.74,"long",3,64.2,"yes",1,28.5,-0.14,0.68,0.667,0.293,1.69,0.21,4.35,204.1
12,92115432,92186992,35,2,1,0,-0.45,0.07,-0.32,-0.14,-0.12,-0.3,0.74,"short",2,68.9,"no",0,38,0.14,0.06,0,0.001,0,0.001,9.3,204.1
