triad	indiv-1	indiv-2	dyad	dyad_split	individual_split	triad_recruit_source	indiv-1_recruit_source	cubicle	camera	gender	median_income	indiv_ethnicity	dyad_ethnicity_broad	dyad_ethnicity_narrow	attractiveness	style_similarity	indiv-1_interrupts_indiv-2	indiv-2_interrupts_indiv-1	common_ground	indiv-1_pd_indiv-2	indiv-2_pd_indiv-1	gameplay_profit	indiv-1_predicts_indiv-2	indiv-2_predicts_indiv-1	f1_psychopathy	f2_psychopathy	total_psychopathy
18	92196760	92163240	53	1	2	1	1	1	0	1	86.5	2	1	1	0.91	-0.04	0.00	0.28	1	1	1	6	1	1	-0.71	-0.41	-0.72
18	92163240	92196760	53	2	1	1	1	3	1	1	102	2	1	1	0.70	-0.04	0.28	0.00	1	1	1	12	1	1	-0.18	-0.17	-0.22
18	13222577	92163240	54	1	2	1	1	2	0	1	40.6	4	0	0	0.07	-1.63	0.28	0.55	1	1	1	15	0	1	-0.05	0.56	0.19
18	92163240	13222577	54	2	2	1	1	3	1	1	102	2	0	0	0.70	-1.63	0.55	0.28	1	1	1	12	1	0	-0.18	-0.17	-0.22
19	65171896	53374348	55	1	1	0	0	3	0	0	81	7	1	0	0.40	-0.92	0.00	0.00	0	0	1	18	0	1	0.74	-0.66	0.29
19	53374348	65171896	55	2	1	0	0	2	0	0	79.4	1	1	0	0.26	-0.92	0.00	0.00	0	1	0	6	1	0	0.77	-0.50	0.40
19	65171896	13243039	56	1	2	0	0	3	0	0	81	7	1	0	0.40	-0.21	0.00	0.00	0	0	1	18	0	1	0.74	-0.66	0.29
19	13243039	65171896	56	2	1	0		1	1	0	101	1	1	0	-0.95	-0.21	0.00	0.00	0	1	0	6	1	0	1.39	1.29	1.60
19	53374348	13243039	57	1	2	0	0	2	0	0	79.4	1	1	1	0.26	-1.19	0.00	0.00	0	1	1	6	1	0	0.77	-0.50	0.40
19	13243039	53374348	57	2	2	0		1	1	0	101	1	1	1	-0.95	-1.19	0.00	0.00	0	1	1	6	0	1	1.39	1.29	1.60
